SportName,Gender,PSAL Program Name,PSAL Code,Season,League,Cost
BASKETBALL GIRLS VARSITY,Girls,Bathgate Educational Complex,09263,W,SSAL," $	14,033.29 "
BASKETBALL BOYS VARSITY,Boys,Explorations Academy,12251,W,SSAL," $	14,011.52 "
BASEBALL BOYS VARSITY,Boys,Bronx United,07551,S,SSAL," $	12,672.16 "
BASEBALL BOYS VARSITY,Boys,Health Opportunities Social Justice HS,07498,S,SSAL," $	12,672.16 "
SOFTBALL GIRLS VARSITY,Girls,Explorations Academy,12251,S,SSAL," $	12,414.75 "
SOCCER GIRLS VARSITY,Girls,Adams Street Academy,13483,F,SSAL," $	9,626.43 "
SOCCER BOYS VARSITY,Boys,Explorations Academy,12251,F,SSAL," $	9,606.82 "
SOCCER BOYS VARSITY,Boys,Graphics Campus,02541,F,SSAL," $	9,606.82 "
SOCCER BOYS VARSITY,Boys,Morrisania Educational Campus,09260,F,SSAL," $	9,606.82 "
SOCCER BOYS VARSITY,Boys,Queens High School Complex,24552,F,SSAL," $	9,606.82 "
INDOOR TRACK GIRLS,Girls,Brooklyn High School for Law and Technology,15568,W,SSAL," $	8,936.68 "
INDOOR TRACK GIRLS,Girls,Institute For Collaborative Education,02378,W,SSAL," $	8,936.68 "
OUTDOOR TRACK BOYS,Boys,HS Economics & Finance,02350,S,SSAL," $	8,314.00 "
OUTDOOR TRACK GIRLS,Girls,Spring Creek Campus,19404,S,SSAL," $	8,302.65 "
SOCCER GIRLS VARSITY,Girls,Murry Bergtraum,02546,F,SSAL," $	7,144.47 "
SOCCER BOYS VARSITY,Boys,Murry Bergtraum,02546,F,SSAL," $	7,124.86 "
VOLLEYBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,Manhattan Comprehensive High School,02555,F,SSAL," $	6,493.59 "
CROSS COUNTRY GIRLS,Girls,Archimedes/Maleska Campus,08367,F,SSAL," $	6,161.29 "
CROSS COUNTRY GIRLS,Girls,Dr. Susan S. Mckinney School of Art,13866,F,SSAL," $	6,161.29 "
CROSS COUNTRY GIRLS,Girls,Energy Tech High School,30258,F,SSAL," $	6,161.29 "
TABLE TENNIS COED MULTIPLE PATHWAYS LEAGUE,Coed,Manhattan Comprehensive High School,02555,W,SSAL," $	6,094.63 "
HANDBALL GIRLS VARSITY,Girls,South Bronx Preparatory,07221,S,SSAL," $	5,744.56 "
TABLE TENNIS BOYS VARSITY,Boys,Civic Leadership Academy,24293,W,SSAL," $	5,725.60 "
TABLE TENNIS BOYS VARSITY,Boys,Jacqueline K. Onassis Inter Careers,02545,W,SSAL," $	5,725.60 "
BASEBALL BOYS VARSITY,Boys,KIPP NYC College Prep,05858,S,SSAL," $	2,657.01 "
BASKETBALL BOYS VARSITY,Boys,Achievement First Brooklyn High School,17669,W,SSAL," $	2,655.65 "
BASKETBALL BOYS VARSITY,Boys,Democracy Prep Charter High School,05653,W,SSAL," $	2,655.65 "
BASKETBALL GIRLS VARSITY,Girls,Democracy Prep Charter High School,05653,W,SSAL," $	2,655.65 "
BASKETBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,Aspirations Diploma Plus High School,23646,S,MPL," $	10,459.26 "
BASKETBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,Bushwick Community High School,32564,S,MPL," $	10,459.26 "
BASKETBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,Claremont International High School,09564,S,MPL," $	10,459.26 "
BASKETBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,International Community High School,07334,S,MPL," $	10,459.26 "
