DBN,SCHOOL NAME,PSAL Program Code,PSAL Program Name,
06M540,A. Philip Randolph Campus High School,06577,A. Philip Randolph Campus High School,
21K410,Abraham Lincoln High School,21501,Abraham Lincoln High School,
21K411,Abraham Lincoln Yabc,21501,Abraham Lincoln High School,
30Q301,Academy for Careers in Television and Film,30511,Academy for Careers In Television and Film,
09X365,Academy for Language and Technology,09365,Academy for Language and Technology,
05M367,Academy for Social Action,05367,Academy for Social Action,
05M369,Urban Assembly School for the Performing Arts,05367,Academy for Social Action,
30Q575,Academy of American Studies,30470,Academy of American Studies,
84K356,Achievement First Crown Heights Charter School,17669,Achievement First Brooklyn High School,
84K358,Achievement First East New York Charter School,17669,Achievement First Brooklyn High School,
84K508,Achievement First Endeavor Charter School,17669,Achievement First Brooklyn High School,
84K538,Achievement First Bushwick Charter School,17669,Achievement First Brooklyn High School,
13K483,The Urban Assembly School for Law and Justice,13483,Adams Street Academy,
13K527,Urban Assembly Institute of Math and Science for Y,13483,Adams Street Academy,
08X312,Millennium Art Academy,08527,Adlai Stevenson Campus,
08X376,Antonia Pantoja Preparatory Academy: A College Boa,08527,Adlai Stevenson Campus,
08X377,Bronx Community High School,08527,Adlai Stevenson Campus,
08X452,Gotham Collaborative High School,08527,Adlai Stevenson Campus,
08X507,Stevenson Yabc,08527,Adlai Stevenson Campus,
08X519,Felisa Rincon de Gautier Institute for Law and Pub,08527,Adlai Stevenson Campus,
08X561,Bronx Compass High School,08527,Adlai Stevenson Campus,
11X270,Academy for Scholarship and Entrepreneurship: A Co,11514,Albert Tuitt Educational Campus,
11X513,New World High School,11514,Albert Tuitt Educational Campus,
11X514,The Bronxwood Preparatory Academy,11514,Albert Tuitt Educational Campus,
07X381,Bronx Haven High School,07519,Alfred E. Smith Campus,
07X456,Alfred E. Smith Campus YABC,07519,Alfred E. Smith Campus,
07X522,Bronx Design and Construction Academy,07519,Alfred E. Smith Campus,
07X600,Alfred E. Smith Career and Technical Education Hig,07519,Alfred E. Smith Campus,
32K554,All City Leadership Secondary School,32572,All City Leadership Secondary School,
02M047,47 The American Sign Language and English Secondar,02047,American Sign Language and English,
08X282,Women's Academy of Excellence,08367,Archimedes/Maleska Campus,
08X367,"Archimedes Academy for Math, Science and Technolog",08367,Archimedes/Maleska Campus,
02M570,Satellite Academy High School,02461,Arturo A. Schomburg Satellite Academy Bronx,
