URL,Date of Notice,Event Number,Rapid Response Specialist,Reason Stated for Filing,County,Company,Address,WDB Name,Region,Contact,Phone,Business Type,Number Affected,Total Employees,Layoff Date,Closing Date,Reason for Dislocation,FEIN NUM,Union,Classification,Latitude,Longitude,Geocoded NY,Geocoded,Cleaned Layoff Date
https://labor.ny.gov/app/warn/details.asp?id=8241,4/23/2020,2019-1488,Elias Flores,Temporary Plant Layoff,Dutchess,"EFCO Products, Inc.","130 Smith Street  Poughkeepsie, NY 12601",DUTCHESS,Mid-Hudson," Richard O'Keefe,Director of Finance & Administration",(845) 452-4715 Ext: 335,Manufacturing,16.0,,4/8/2020,,Unforeseeable business circumstances prompted by COVID-19,14-1283752,The employees are not represented by a union,Temporary Plant Layoff,41.708131,-73.91719,True,"130 Smith Street, Poughkeepsie, New York 12601, United States",2020-04-08
https://labor.ny.gov/app/warn/details.asp?id=8242,4/22/2020,2019-1483,Elias Flores,Temporary Plant Closing,Orange,YMCA of Greater New York (New York YMCA Camp),"160 Big Pond Road  Huguenot, NY 12746",ORANGE,Mid-Hudson," Jim Trocchia,Vice President,Human Resources",(212) 630-9614,Day Camp,61.0,61,4/22/2020,4/22/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing,41.429147,-74.635535,True,"160 Big Pond Road, Huguenot, New York 12746, United States",2020-04-22
https://labor.ny.gov/app/warn/details.asp?id=8243,4/17/2020,2019-1491,Elias Flores,Temporary Plant Closing,Orange,"Shake Shack Enterprises, LLC dba Woodbury Commons Shake Shack","199 Niagra Lane  Central Valley, NY 10917",ORANGE,Mid-Hudson," Diane Neville,SVP of People Resources",(480) 201-7199,Restaurant,62.0,62,3/19/2020,3/19/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing,41.31725,-74.129475,True,"199 Niagara Lane, Central Valley, New York 10917, United States",2020-03-19
https://labor.ny.gov/app/warn/details.asp?id=8244,4/17/2020,2019-1490,Stuart Goldberg,Temporary Plant Closing,New York,"Shake Shack Enterprises, LLC dba Hudson Yards Shake Shack","20 Hudson Yards  New York, NY 10001",NEW YORK CITY,New York City," Diane Neville,SVP of People Resources",(480) 201-7199,Restaurant,40.0,40,3/17/2020,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing,40.75082,-73.98862,True,"20 Hudson Yards, Manhattan, New York 10001, United States",2020-03-17
https://labor.ny.gov/app/warn/details.asp?id=8245,4/20/2020,2019-1502,Stuart Goldberg,Temporary Plant Layoff,Queens,Joint Billion New York LLC,"JFK International Airport, Terminal 4, Room 126.001  Jamaica, NY 11430",NEW YORK CITY,New York City," Charles H. Kaplan,Esq.,Attorney",(646) 218-7513,Airline Services,48.0,,3/24/2020,,Unforeseeable business circumstances prompted by COVID-19,," IAM District 15,Local Lodge 447",Temporary Plant Layoff,40.65,-73.78,True,"Jamaica, New York 11430, United States",2020-03-24
https://labor.ny.gov/app/warn/details.asp?id=8246,4/21/2020,2019-1506,Stuart Goldberg,Temporary Plant Layoff,New York,"NYY Steak, LLC","7 West 51st Street  New York, NY 10019",NEW YORK CITY,New York City,Julissa Cabrera,(954) 797-5478,Restaurant,49.0,,4/13/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff,40.759612,-73.977551,True,"7 West 51st Street, New York, New York 10019, United States",2020-04-13
https://labor.ny.gov/app/warn/details.asp?id=8247,4/21/2020,2019-1505,Stuart Goldberg,Temporary Plant Layoff,New York,Hard Rock Café New York,"1501 Broadway  New York, NY 10036",NEW YORK CITY,New York City,Julissa Cabrera,(954) 797-5478,Restaurant,456.0,,4/13/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff,40.757096,-73.9864,True,"1501 Broadway, New York, New York 10036, United States",2020-04-13
https://labor.ny.gov/app/warn/details.asp?id=8248,4/8/2020                               Amendment: 4/24/2020,2019-1218,Stuart Goldberg,Temporary Plant Layoff,Bronx,Morris Heights Health Center,"85 W. Burnside Ave.  Bronx, NY 10453",NEW YORK CITY,New York City," Dorene Lewis,Director,Human Resources",(718) 716-4400 Ext: 2440,Healthcare Center,133.0,,4/10/2020 (115); 4/27/2020 (18),,Unforeseeable business circumstances prompted by COVID-19,,SEIU 1199 Healthcare Workers East,Temporary Plant Layoff,40.85484,-73.91014,True,"85 W Burnside Ave, Bronx, New York 10453, United States",2020-04-10
https://labor.ny.gov/app/warn/details.asp?id=8249,4/21/2020,2019-1504,Stuart Goldberg,Temporary Plant Layoff,Bronx,"Hard Rock Stadium Tenant, Inc., Hard Rock Café Yankees Stadium","1 East 161st Street, 1st Floor  Bronx, NY 10461",NEW YORK CITY,New York City,Julissa Cabrera,(954) 797-5478,Restaurant,64.0,,4/13/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff,40.828804,-73.92742,True,"1 East 161st Street, Bronx, New York 10451, United States",2020-04-13
https://labor.ny.gov/app/warn/details.asp?id=8250,4/20/2020,2019-1489,Frederick Danks,Temporary Plant Layoff,Nassau,"Audio Command Systems, Inc.","694 Main Street  Westbury, NY 11590",HEMPSTEAD,Long Island," John Lawlor,HR",(516) 997-5800,Home automation,70.0,,3/27/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff,40.757068,-73.557452,True,"694 Main Street, Westbury, New York 11590, United States",2020-03-27
