Country/Region,Date,Cases,new_date
Afghanistan,1/22/20,0,2020-01-22
Belize,1/22/20,0,2020-01-22
San Marino,1/22/20,0,2020-01-22
Latvia,1/22/20,0,2020-01-22
United Kingdom,1/22/20,0,2020-01-22
Lebanon,1/22/20,0,2020-01-22
Belgium,1/22/20,0,2020-01-22
Saint Vincent and the Grenadines,1/22/20,0,2020-01-22
Liberia,1/22/20,0,2020-01-22
Laos,1/22/20,0,2020-01-22
Libya,1/22/20,0,2020-01-22
Liechtenstein,1/22/20,0,2020-01-22
Saint Lucia,1/22/20,0,2020-01-22
Lithuania,1/22/20,0,2020-01-22
Barbados,1/22/20,0,2020-01-22
Uruguay,1/22/20,0,2020-01-22
Luxembourg,1/22/20,0,2020-01-22
Saint Kitts and Nevis,1/22/20,0,2020-01-22
MS Zaandam,1/22/20,0,2020-01-22
Belarus,1/22/20,0,2020-01-22
Bangladesh,1/22/20,0,2020-01-22
Kyrgyzstan,1/22/20,0,2020-01-22
Benin,1/22/20,0,2020-01-22
Israel,1/22/20,0,2020-01-22
Italy,1/22/20,0,2020-01-22
Botswana,1/22/20,0,2020-01-22
Serbia,1/22/20,0,2020-01-22
Jamaica,1/22/20,0,2020-01-22
Ukraine,1/22/20,0,2020-01-22
Bosnia and Herzegovina,1/22/20,0,2020-01-22
Jordan,1/22/20,0,2020-01-22
Sao Tome and Principe,1/22/20,0,2020-01-22
Senegal,1/22/20,0,2020-01-22
Bolivia,1/22/20,0,2020-01-22
Kenya,1/22/20,0,2020-01-22
Saudi Arabia,1/22/20,0,2020-01-22
"Korea, South",1/22/20,1,2020-01-22
Bhutan,1/22/20,0,2020-01-22
Kosovo,1/22/20,0,2020-01-22
United Arab Emirates,1/22/20,0,2020-01-22
Kuwait,1/22/20,0,2020-01-22
Kazakhstan,1/22/20,0,2020-01-22
Seychelles,1/22/20,0,2020-01-22
Madagascar,1/22/20,0,2020-01-22
Bahrain,1/22/20,0,2020-01-22
Montenegro,1/22/20,0,2020-01-22
Vietnam,1/22/20,0,2020-01-22
Morocco,1/22/20,0,2020-01-22
Argentina,1/22/20,0,2020-01-22
Poland,1/22/20,0,2020-01-22
Mozambique,1/22/20,0,2020-01-22
Namibia,1/22/20,0,2020-01-22
