time,count
2019-01-30 07:40:00,22
2019-01-30 07:30:00,62
2019-01-30 07:20:00,62
2019-01-30 07:10:00,52
2019-01-30 07:00:00,42
2019-01-30 06:50:00,50
2019-01-30 06:40:00,70
2019-01-30 06:30:00,48
2019-01-30 06:20:00,48
2019-01-30 06:10:00,54
2019-01-30 06:00:00,68
2019-01-30 05:50:00,46
2019-01-30 05:40:00,58
2019-01-30 05:30:00,39
2019-01-30 05:20:00,53
2019-01-30 05:10:00,38
2019-01-30 05:00:00,37
2019-01-30 04:50:00,63
2019-01-30 04:40:00,40
2019-01-30 04:30:00,44
2019-01-30 04:20:00,55
2019-01-30 04:10:00,46
2019-01-30 04:00:00,68
2019-01-30 03:50:00,80
2019-01-30 03:40:00,57
2019-01-30 03:30:00,27
2019-01-30 03:20:00,40
2019-01-30 03:10:00,55
2019-01-30 03:00:00,66
2019-01-30 02:50:00,56
2019-01-30 02:40:00,55
2019-01-30 02:30:00,54
2019-01-30 02:20:00,40
2019-01-30 02:10:00,53
2019-01-30 02:00:00,67
2019-01-30 01:50:00,45
2019-01-30 01:40:00,55
2019-01-30 01:30:00,65
2019-01-30 01:20:00,80
2019-01-30 01:10:00,95
2019-01-30 01:00:00,99
2019-01-30 00:50:00,100
2019-01-30 00:40:00,76
2019-01-30 00:30:00,78
2019-01-30 00:20:00,97
2019-01-30 00:10:00,72
2019-01-30 00:00:00,90
2019-01-29 23:50:00,78
2019-01-29 23:40:00,84
2019-01-29 23:30:00,121
2019-01-29 23:20:00,138
2019-01-29 23:10:00,118
2019-01-29 23:00:00,92
2019-01-29 22:50:00,80
2019-01-29 22:40:00,100
2019-01-29 22:30:00,96
2019-01-29 22:20:00,81
2019-01-29 22:10:00,116
2019-01-29 22:00:00,92
2019-01-29 21:50:00,118
2019-01-29 21:40:00,118
2019-01-29 21:30:00,139
2019-01-29 21:20:00,92
2019-01-29 21:10:00,86
2019-01-29 21:00:00,120
2019-01-29 20:50:00,170
2019-01-29 20:40:00,114
2019-01-29 20:30:00,93
2019-01-29 20:20:00,119
2019-01-29 20:10:00,118
2019-01-29 20:00:00,137
2019-01-29 19:50:00,127
2019-01-29 19:40:00,137
2019-01-29 19:30:00,128
2019-01-29 19:20:00,118
2019-01-29 19:10:00,106
2019-01-29 19:00:00,117
2019-01-29 18:50:00,162
2019-01-29 18:40:00,146
2019-01-29 18:30:00,130
2019-01-29 18:20:00,132
2019-01-29 18:10:00,128
2019-01-29 18:00:00,176
2019-01-29 17:50:00,115
2019-01-29 17:40:00,114
2019-01-29 17:30:00,127
2019-01-29 17:20:00,110
2019-01-29 17:10:00,110
2019-01-29 17:00:00,92
2019-01-29 16:50:00,116
2019-01-29 16:40:00,133
2019-01-29 16:30:00,102
2019-01-29 16:20:00,107
2019-01-29 16:10:00,114
2019-01-29 16:00:00,143
2019-01-29 15:50:00,134
2019-01-29 15:40:00,174
2019-01-29 15:30:00,167
2019-01-29 15:20:00,146
2019-01-29 15:10:00,119
2019-01-29 15:00:00,161
2019-01-29 14:50:00,125
2019-01-29 14:40:00,148
2019-01-29 14:30:00,140
2019-01-29 14:20:00,129
2019-01-29 14:10:00,130
2019-01-29 14:00:00,126
2019-01-29 13:50:00,163
2019-01-29 13:40:00,169
2019-01-29 13:30:00,184
2019-01-29 13:20:00,216
2019-01-29 13:10:00,248
2019-01-29 13:00:00,235
2019-01-29 12:50:00,222
2019-01-29 12:40:00,191
2019-01-29 12:30:00,224
2019-01-29 12:20:00,278
2019-01-29 12:10:00,253
2019-01-29 12:00:00,237
2019-01-29 11:50:00,272
2019-01-29 11:40:00,226
2019-01-29 11:30:00,225
2019-01-29 11:20:00,222
2019-01-29 11:10:00,245
2019-01-29 11:00:00,174
2019-01-29 10:50:00,164
2019-01-29 10:40:00,179
2019-01-29 10:30:00,141
2019-01-29 10:20:00,151
2019-01-29 10:10:00,140
2019-01-29 10:00:00,186
2019-01-29 09:50:00,155
2019-01-29 09:40:00,176
2019-01-29 09:30:00,172
2019-01-29 09:20:00,178
2019-01-29 09:10:00,168
2019-01-29 09:00:00,193
2019-01-29 08:50:00,176
2019-01-29 08:40:00,199
2019-01-29 08:30:00,184
2019-01-29 08:20:00,155
2019-01-29 08:10:00,160
