"time","tweet_count","retweet_count"
"2019-01-20 08:00:00",4,18
"2019-01-20 09:00:00",7,15
"2019-01-20 10:00:00",15,10
"2019-01-20 11:00:00",7,73
"2019-01-20 12:00:00",8,12
"2019-01-20 13:00:00",8,6
"2019-01-20 14:00:00",6,7
"2019-01-20 15:00:00",8,13
"2019-01-20 16:00:00",11,6
"2019-01-20 17:00:00",9,64
"2019-01-20 18:00:00",6,51
"2019-01-20 19:00:00",6,20
"2019-01-20 20:00:00",4,19
"2019-01-20 21:00:00",4,12
"2019-01-20 22:00:00",7,27
"2019-01-20 23:00:00",2,9
"2019-01-21 00:00:00",2,28
"2019-01-21 01:00:00",3,4
"2019-01-21 02:00:00",5,14
"2019-01-21 03:00:00",4,22
"2019-01-21 04:00:00",10,16
"2019-01-21 05:00:00",6,25
"2019-01-21 06:00:00",6,13
"2019-01-21 07:00:00",7,17
"2019-01-21 08:00:00",9,23
"2019-01-21 09:00:00",12,23
"2019-01-21 10:00:00",6,8
"2019-01-21 11:00:00",11,9
"2019-01-21 12:00:00",14,16
"2019-01-21 13:00:00",5,35
"2019-01-21 14:00:00",8,13
"2019-01-21 15:00:00",5,33
"2019-01-21 16:00:00",9,14
"2019-01-21 17:00:00",3,6
"2019-01-21 18:00:00",10,8
"2019-01-21 19:00:00",2,10
"2019-01-21 20:00:00",3,7
"2019-01-21 21:00:00",7,5
"2019-01-21 22:00:00",11,7
"2019-01-21 23:00:00",10,16
"2019-01-22 00:00:00",2,5
"2019-01-22 01:00:00",3,9
"2019-01-22 02:00:00",10,17
"2019-01-22 03:00:00",2,17
"2019-01-22 04:00:00",9,24
"2019-01-22 05:00:00",5,6
"2019-01-22 06:00:00",9,11
"2019-01-22 07:00:00",8,11
"2019-01-22 08:00:00",12,17
"2019-01-22 09:00:00",11,9
"2019-01-22 10:00:00",10,25
"2019-01-22 11:00:00",12,31
"2019-01-22 12:00:00",49,39
"2019-01-22 13:00:00",19,38
"2019-01-22 14:00:00",24,23
"2019-01-22 15:00:00",13,15
"2019-01-22 16:00:00",12,22
"2019-01-22 17:00:00",5,12
"2019-01-22 18:00:00",17,6
"2019-01-22 19:00:00",11,21
"2019-01-22 20:00:00",9,17
"2019-01-22 21:00:00",8,12
"2019-01-22 22:00:00",12,10
"2019-01-22 23:00:00",3,7
"2019-01-23 00:00:00",12,27
"2019-01-23 01:00:00",6,11
"2019-01-23 02:00:00",9,15
