FromType,FromName,Edge,ToType,ToName,Weight
User,24h_rx,Retweeted by,User,AbrahamJacobs,1
User,2tacopequeno,Retweeted by,User,BarbaraObiedzen,1
User,2tacopequeno,Retweeted by,User,Waibry,1
User,365NUTSz,Retweeted by,User,CentristsSuck,1
User,42Shanes,Retweeted by,User,VickieLu70,1
User,42Shanes,Retweeted by,User,tweets4twits,1
User,9foldmuseTom,Retweeted by,User,Handzupinc,1
User,9foldmuseTom,Retweeted by,User,mettahapa,1
User,9foldmuseTom,Retweeted by,User,thetruthwillo15,2
User,ADmomof3,Retweeted by,User,JEANNEinWa,1
User,APB_Pa,Retweeted by,User,EttaKiser,1
User,APB_Pa,Retweeted by,User,PRforYang,1
User,APB_Pa,Retweeted by,User,ParkerMorris5,1
User,APB_Pa,Retweeted by,User,ZerbertMusicLif,1
User,APB_Pa,Retweeted by,User,dfm_97,1
User,ATGmikedoss,Retweeted by,User,eschu1977,1
User,AZYXii,Retweeted by,User,LilyofBiscay,1
User,Aatif_Rashid,Retweeted by,User,HeldOlivia,1
User,Aatif_Rashid,Retweeted by,User,mettahapa,1
User,AlekseiTheWolf,Retweeted by,User,2tacopequeno,1
User,AlekseiTheWolf,Retweeted by,User,365NUTSz,1
User,AlekseiTheWolf,Retweeted by,User,BarbaraObiedzen,1
User,AlekseiTheWolf,Retweeted by,User,MattStreacker,1
User,AlekseiTheWolf,Retweeted by,User,NewTmrw,1
User,AlekseiTheWolf,Retweeted by,User,bobokkin,1
User,AlekseiTheWolf,Retweeted by,User,bucketofloosers,1
User,AlekseiTheWolf,Retweeted by,User,doctorcherokee,1
User,AlekseiTheWolf,Retweeted by,User,mednin,1
User,AlekseiTheWolf,Retweeted by,User,nativespecies,1
User,AlexBC997,Retweeted by,User,JoLissa13,1
User,AllenTaira,Retweeted by,User,AnnAnne700,1
User,AllenTaira,Retweeted by,User,robdoghotdog,1
User,AmericanMohawk,Retweeted by,User,DddSense,1
User,AmericanMohawk,Retweeted by,User,KellyDetoni,1
User,AmericanMohawk,Retweeted by,User,MeemzerTrudy,1
User,AmericanMohawk,Retweeted by,User,Michigandeplor2,1
User,AmericanMohawk,Retweeted by,User,chispasos9,1
User,AmericanMohawk,Retweeted by,User,gohatt,1
