ts,location_name,woeid,trend_name,tweet_volume
2020-02-04 07:00:19.577 UTC,Baltimore,2358820,#MayorCheat,
2020-02-04 07:00:30.593 UTC,Nashville,2457170,#MayorCheat,
2020-02-04 07:00:30.698 UTC,San Francisco,2487956,#MayorCheat,
2020-02-04 07:00:30.777 UTC,Seattle,2490383,#MayorCheat,
2020-02-04 07:00:34.924 UTC,Cincinnati,2380358,#MayorCheat,
2020-02-04 07:00:35.437 UTC,San Antonio,2487796,#MayorCheat,
2020-02-04 07:00:35.660 UTC,Tucson,2508428,#MayorCheat,
2020-02-04 07:00:52.744 UTC,Omaha,2465512,#MayorCheat,
2020-02-04 07:01:20.570 UTC,Milwaukee,2451822,#MayorCheat,
2020-02-04 07:01:24.606 UTC,Las Vegas,2436704,#MayorCheat,
2020-02-04 07:01:24.962 UTC,Salt Lake City,2487610,#MayorCheat,
2020-02-04 07:01:54.716 UTC,Austin,2357536,#MayorCheat,
2020-02-04 07:02:07.193 UTC,Columbus,2383660,#MayorCheat,
2020-02-04 07:02:07.230 UTC,Denver,2391279,#MayorCheat,
2020-02-04 07:02:07.273 UTC,Los Angeles,2442047,#MayorCheat,
2020-02-04 07:02:08.078 UTC,Portland,2475687,#MayorCheat,
2020-02-04 08:00:14.410 UTC,Gomel,825978,#MayorCheat,
2020-02-04 08:00:15.126 UTC,Brest,824382,#MayorCheat,
2020-02-04 08:00:17.017 UTC,Baton Rouge,2359991,#MayorCheat,
2020-02-04 08:00:17.322 UTC,New Haven,2458410,#MayorCheat,
2020-02-04 08:00:19.026 UTC,Colorado Springs,2383489,#MayorCheat,
2020-02-04 08:00:22.143 UTC,Charlotte,2378426,#MayorCheat,
2020-02-04 08:00:22.252 UTC,Chicago,2379574,#MayorCheat,
2020-02-04 08:00:22.364 UTC,Omaha,2465512,#MayorCheat,
2020-02-04 08:00:22.476 UTC,Phoenix,2471390,#MayorCheat,
2020-02-04 08:00:26.432 UTC,San Francisco,2487956,#MayorCheat,
2020-02-04 08:00:26.573 UTC,San Jose,2488042,#MayorCheat,
2020-02-04 08:00:26.683 UTC,Tallahassee,2503713,#MayorCheat,
2020-02-04 08:00:26.817 UTC,Tampa,2503863,#MayorCheat,
2020-02-04 08:00:37.729 UTC,Virginia Beach,2512636,#MayorCheat,
2020-02-04 08:00:37.840 UTC,Washington,2514815,#MayorCheat,
2020-02-04 08:00:45.453 UTC,Worldwide,1,#MayorCheat,
2020-02-04 08:00:47.544 UTC,Atlanta,2357024,#MayorCheat,
2020-02-04 08:00:47.688 UTC,Minneapolis,2452078,#MayorCheat,
2020-02-04 08:00:47.821 UTC,Nashville,2457170,#MayorCheat,
2020-02-04 08:00:47.958 UTC,New Orleans,2458833,#MayorCheat,
2020-02-04 08:00:48.865 UTC,Albuquerque,2352824,#MayorCheat,
2020-02-04 08:00:50.327 UTC,Baltimore,2358820,#MayorCheat,
2020-02-04 08:00:50.461 UTC,Salt Lake City,2487610,#MayorCheat,
2020-02-04 08:00:50.593 UTC,Tucson,2508428,#MayorCheat,
2020-02-04 08:00:50.835 UTC,Las Vegas,2436704,#MayorCheat,
2020-02-04 08:00:56.455 UTC,St. Louis,2486982,#MayorCheat,
2020-02-04 08:00:56.565 UTC,Long Beach,2441472,#MayorCheat,
2020-02-04 08:00:56.673 UTC,Oklahoma City,2464592,#MayorCheat,
2020-02-04 08:00:56.807 UTC,Orlando,2466256,#MayorCheat,
2020-02-04 08:00:56.918 UTC,Raleigh,2478307,#MayorCheat,
2020-02-04 08:01:07.519 UTC,Milwaukee,2451822,#MayorCheat,
2020-02-04 08:01:07.653 UTC,Jacksonville,2428344,#MayorCheat,
2020-02-04 08:01:07.789 UTC,Mesa,2449808,#MayorCheat,
2020-02-04 08:01:07.925 UTC,Miami,2450022,#MayorCheat,
2020-02-04 08:01:08.064 UTC,Indianapolis,2427032,#MayorCheat,
2020-02-04 08:01:08.199 UTC,Portland,2475687,#MayorCheat,
2020-02-04 08:01:08.311 UTC,San Antonio,2487796,#MayorCheat,
2020-02-04 08:01:08.407 UTC,Seattle,2490383,#MayorCheat,
2020-02-04 08:01:08.877 UTC,Belarus,23424765,#MayorCheat,
2020-02-04 08:01:20.851 UTC,Cleveland,2381475,#MayorCheat,
2020-02-04 08:01:20.993 UTC,Jackson,2428184,#MayorCheat,
2020-02-04 08:01:21.107 UTC,Los Angeles,2442047,#MayorCheat,
2020-02-04 08:01:21.213 UTC,Pittsburgh,2473224,#MayorCheat,
2020-02-04 08:01:21.348 UTC,Providence,2477058,#MayorCheat,
2020-02-04 08:01:21.488 UTC,Birmingham,2364559,#MayorCheat,
2020-02-04 08:01:22.025 UTC,Detroit,2391585,#MayorCheat,
2020-02-04 08:01:22.139 UTC,Kansas City,2430683,#MayorCheat,
2020-02-04 08:01:22.420 UTC,Dallas-Ft. Worth,2388929,#MayorCheat,
2020-02-04 08:01:59.877 UTC,Grodno,825848,#MayorCheat,
2020-02-04 08:02:00.453 UTC,Minsk,834463,#MayorCheat,
2020-02-04 08:02:04.107 UTC,New York,2459115,#MayorCheat,
2020-02-04 08:02:04.214 UTC,Philadelphia,2471217,#MayorCheat,
2020-02-04 08:02:04.371 UTC,Sacramento,2486340,#MayorCheat,
2020-02-04 08:02:04.509 UTC,Denver,2391279,#MayorCheat,
2020-02-04 08:02:05.035 UTC,United States,23424977,#MayorCheat,
2020-02-04 08:02:05.177 UTC,Fresno,2407517,#MayorCheat,
2020-02-04 08:02:05.308 UTC,Honolulu,2423945,#MayorCheat,
2020-02-04 08:02:05.446 UTC,Memphis,2449323,#MayorCheat,
2020-02-04 08:02:05.670 UTC,Norfolk,2460389,#MayorCheat,
2020-02-04 08:02:05.813 UTC,Richmond,2480894,#MayorCheat,
2020-02-04 08:02:15.489 UTC,Greensboro,2414469,#MayorCheat,
2020-02-04 08:02:15.626 UTC,Harrisburg,2418046,#MayorCheat,
2020-02-04 08:02:15.759 UTC,San Diego,2487889,#MayorCheat,
2020-02-04 08:02:16.034 UTC,Austin,2357536,#MayorCheat,
