URL,Date of Notice,Event Number,Rapid Response Specialist,Reason Stated for Filing,Company,County,WDB Name,Region,Contact,Phone,Business Type,Number Affected,Total Employees,Layoff Date,Closing Date,Reason for Dislocation,FEIN NUM,Union,Classification
https://labor.ny.gov/app/warn/details.asp?id=8241,4/23/2020,2019-1488,Elias Flores,Temporary Plant Layoff,"      EFCO Products,Inc. 130 Smith Street Poughkeepsie,NY 12601",Dutchess,DUTCHESS,Mid-Hudson," Richard O'Keefe,Director of Finance & Administration",(845) 452-4715 Ext: 335,Manufacturing,16.0,,4/8/2020,,Unforeseeable business circumstances prompted by COVID-19,14-1283752,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8242,4/22/2020,2019-1483,Elias Flores,Temporary Plant Closing,"      YMCA of Greater New York (New York YMCA Camp) 160 Big Pond Road Huguenot,NY 12746",Orange,ORANGE,Mid-Hudson," Jim Trocchia,Vice President,Human Resources",(212) 630-9614,Day Camp,61.0,61,4/22/2020,4/22/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8243,4/17/2020,2019-1491,Elias Flores,Temporary Plant Closing,"      Shake Shack Enterprises,LLC dba Woodbury Commons Shake Shack 199 Niagra Lane Central Valley,NY 10917",Orange,ORANGE,Mid-Hudson," Diane Neville,SVP of People Resources",(480) 201-7199,Restaurant,62.0,62,3/19/2020,3/19/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8244,4/17/2020,2019-1490,Stuart Goldberg,Temporary Plant Closing,"      Shake Shack Enterprises,LLC dba Hudson Yards Shake Shack 20 Hudson Yards New York,NY 10001",New York,NEW YORK CITY,New York City," Diane Neville,SVP of People Resources",(480) 201-7199,Restaurant,40.0,40,3/17/2020,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8245,4/20/2020,2019-1502,Stuart Goldberg,Temporary Plant Layoff,"      Joint Billion New York LLC JFK International Airport,Terminal 4,Room 126.001 Jamaica,NY 11430",Queens,NEW YORK CITY,New York City," Charles H. Kaplan,Esq.,Attorney",(646) 218-7513,Airline Services,48.0,,3/24/2020,,Unforeseeable business circumstances prompted by COVID-19,," IAM District 15,Local Lodge 447",Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8246,4/21/2020,2019-1506,Stuart Goldberg,Temporary Plant Layoff,"      NYY Steak,LLC 7 West 51st Street New York,NY 10019",New York,NEW YORK CITY,New York City,Julissa Cabrera,(954) 797-5478,Restaurant,49.0,,4/13/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8247,4/21/2020,2019-1505,Stuart Goldberg,Temporary Plant Layoff,"      Hard Rock Café New York 1501 Broadway New York,NY 10036",New York,NEW YORK CITY,New York City,Julissa Cabrera,(954) 797-5478,Restaurant,456.0,,4/13/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8248,4/8/2020                               Amendment: 4/24/2020,2019-1218,Stuart Goldberg,Temporary Plant Layoff,"      Morris Heights Health Center 85 W. Burnside Ave. Bronx,NY 10453",Bronx,NEW YORK CITY,New York City," Dorene Lewis,Director,Human Resources",(718) 716-4400 Ext: 2440,Healthcare Center,133.0,,4/10/2020 (115); 4/27/2020 (18),,Unforeseeable business circumstances prompted by COVID-19,,SEIU 1199 Healthcare Workers East,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8249,4/21/2020,2019-1504,Stuart Goldberg,Temporary Plant Layoff,"      Hard Rock Stadium Tenant,Inc.,Hard Rock Café Yankees Stadium 1 East 161st Street,1st Floor Bronx,NY 10461",Bronx,NEW YORK CITY,New York City,Julissa Cabrera,(954) 797-5478,Restaurant,64.0,,4/13/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8250,4/20/2020,2019-1489,Frederick Danks,Temporary Plant Layoff,"      Audio Command Systems,Inc. 694 Main Street Westbury,NY 11590",Nassau,HEMPSTEAD,Long Island," John Lawlor,HR",(516) 997-5800,Home automation,70.0,,3/27/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8251,3/27/2020,2019-1507,Stuart Goldberg,Temporary Plant Layoff,"      Production Glue LLC & Department of Events LLC 252 W. 37th Street,Floor 7 New York,NY 10018",New York,NEW YORK CITY,New York City," Jon Migdal,General Manager",(917) 304-3124,Event Company,25.0,,3/27/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8252,4/21/2020,2019-1503,Michele Taylor,Temporary Plant Layoff,"      Hard Rock Café International USA,Inc.,Hard Rock Café Niagara Falls 333 Prospect St. Niagara Falls,NY 14303",Niagara,NIAGARA,Western,Julissa Cabrera,(954) 797-5478,Restaurant,58.0,,4/13/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff
