"fips","county_name","state_postal","region","election_date","racetype","tvotes","clinton","obama","edwards","margin","winner","POP05_SQMI","popUnder30_00","pop65up_00","presVote04","kerry04","Bush04","pres04margin","pres04winner","pop06","pop00","hisp06","white06","black06","indian06","asian06","hawaii06","mixed06","pct_less_30k","pct_more_100k","pct_hs_grad","pct_labor_force","pct_homeowner","unempFeb07","unempFeb08","unempChg","pctUnins00","subForPctHomes","poverty05","median_hhi05","Catholic","So.Bapt.Conv","Un.Methodist","E.L.C.A.","Construction","Manufacturing","FinancialActivities","GoodsProducing","ServiceProviding","black06pct","hisp06pct","white06pct","growth"
1001,"Autauga","AL","S","2/5/08","Primary",4118,1760,2268,57,0.123360855,"obama",78.9,30.3,10.2,20081,0.236940391,0.756735222,0.519794831,"bush",49730,43911,827,39368,8559,203,271,12,490,0.3418,0.075945404,0.7872,0.6515,0.8083,3,3.6,0.6,12.8,0.07,10.4,45019,0.0341187515742713,0.337226076801539,0.0756795127201117,0,6.797466964,17.57751016,5.366228632,26.77623632,73.22376368,0.172109390709833,0.016629800924995,0.791634828071587,13.2518047869554
1003,"Baldwin","AL","S","2/5/08","Primary",12085,6259,5450,227,-0.066942491,"clinton",97,27.2,15.5,69320,0.225028852,0.76415176,0.539122908,"bush",169162,141423,4176,145687,16301,770,679,42,1507,0.3582,0.094930992,0.8202,0.5982,0.7958,3.1,3.4,0.3,13.8,0,11.4,42804,0.0746501442153616,0.197906206601859,0.070455435672827,0.00106826193782716,10.55814289,9.230176781,7.923872101,21.28235676,78.71764324,0.0963632494295409,0.0246863952897223,0.861227698892186,19.6142070243171
1005,"Barbour","AL","S","2/5/08","Primary",3823,1322,2393,60,0.280146482,"obama",32.3,31.4,13.3,10777,0.448362253,0.547369398,0.099007145,"bush",28171,29044,953,13793,13035,115,84,6,185,0.5682,0.05032592,0.6465,0.4802,0.7316,5,7.1,2.1,19.4,6.4,22.4,29534,0.00912597286314485,0.260899510985605,0.0623665541703974,0,2.501615785,45.06710261,3.379842604,51.2755199,48.7244801,0.462709878953534,0.0338291150473892,0.489616982002769,-3.00578432722766
1007,"Bibb","AL","S","2/5/08","Primary",1751,922,755,44,-0.095374072,"clinton",33.4,32.8,11.6,7600,0.274868421,0.72,0.445131579,"bush",21482,19939,304,16266,4705,63,25,2,117,0.4746,0.035216037,0.6319,0.5289,0.8019,3.7,4.2,0.5,16.5,0.1,16.6,34212,0,0.386247959281667,0.0236723326610967,0,20.75060255,15.72363136,3.477562263,42.55709859,57.44290141,0.219020575365422,0.0141513825528349,0.757192067777674,7.73860273835196
1009,"Blount","AL","S","2/5/08","Primary",3471,2735,617,75,-0.61019879,"clinton",80.7,30.2,12.9,21504,0.18312872,0.808500744,0.625372024,"bush",56436,51229,3752,51031,872,238,125,7,411,0.4149,0.050122696,0.7045,0.6057,0.8349,3.1,3.3,0.2,15.7,0.04,11.4,40588,0.00736908121668235,0.355871746629037,0.0711821887739103,0,9.754604117,22.763883,4.300315576,34.12933917,65.87066083,0.0154511304840882,0.066482387128783,0.904227797859522,10.1641648285151
1011,"Bullock","AL","S","2/5/08","Primary",2540,471,2032,6,0.614566929,"obama",18.5,31.6,13.2,4717,0.680517278,0.316726733,-0.363790545,"kerry",10906,11613,752,2413,7615,38,22,1,65,0.6361,0.025795141,0.6048,0.416,0.7444,7.6,7.3,-0.3,22.9,0,38.2,21728,0.00298787775311593,0.146491377838484,0.0358545330373912,0,0,0,3.523766682,56.86009897,43.13990103,0.698239501192004,0.0689528699798276,0.221254355400697,-6.08800482218204
1013,"Butler","AL","S","2/5/08","Primary",2775,1143,1557,40,0.149189189,"obama",27,26.4,16.4,8416,0.405537072,0.591611217,0.186074144,"bush",20520,21330,171,11635,8511,46,82,0,75,0.57,0.047817792,0.6776,0.5453,0.7618,5.4,6.4,1,19.3,0,23.1,28058,0.0070564045048834,0.321930931351932,0.0606570400486004,0,5.03713085,22.57785965,3.390708652,32.04190893,67.95809107,0.414766081871345,0.00833333333333333,0.567007797270955,-3.79746835443038
1015,"Calhoun","AL","S","2/5/08","Primary",11699,5942,5471,154,-0.040259851,"clinton",184.1,30.5,14.1,45249,0.333333333,0.658887489,0.325554156,"bush",112903,111392,2399,85993,22178,449,801,67,1016,0.4723,0.059277215,0.739,0.5783,0.7249,3.7,3.9,0.2,15,0.09,16.9,35937,0.00726955251271726,0.452556370212652,0.0635105880675997,0.00286862243761637,4.152047308,19.75879181,3.544540062,24.31285277,75.68714723,0.196434107153929,0.0212483282109421,0.761653809021904,1.35647084171215
1017,"Chambers","AL","S","2/5/08","Primary",3958,1448,2409,54,0.242799394,"obama",58.5,28.5,16.2,13032,0.410297729,0.584868017,0.174570289,"bush",35176,36574,432,21080,13311,55,82,0,216,0.5047,0.033207288,0.6417,0.5855,0.7569,5.4,8.5,3.1,15.3,0,16.2,31538,0.0075444878768827,0.333242216329989,0.107016920427521,0,4.607415485,36.30627824,2.344601963,42.75588098,57.24411902,0.378411416875142,0.0122811007505117,0.599272231066636,-3.82238748837972
1019,"Cherokee","AL","S","2/5/08","Primary",2689,2040,485,105,-0.578281889,"clinton",41,27.8,15.9,9049,0.335948724,0.654547464,0.31859874,"bush",24863,24059,273,22890,1358,103,59,0,180,0.4853,0.036427248,0.6352,0.5496,0.8172,3.7,4.3,0.6,15,0,16.2,33858,0,0.416166416541604,0.0847507086876772,0,4.429688157,28.8644196,4.160712785,37.98436581,62.01563419,0.0546193138398423,0.0109801713389374,0.920645135341672,3.34178477908476
